,Title,Address,Area,Bedrooms,Bathrooms,Garage Cars,Rent,Condominium
7853,"Apartamento com Quarto para Aluguel, 45m²","Rua Elvira Ferraz, 250 - Vila Olímpia, São Paulo - SP",45 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 7.500 /mês,R$ 0
7854,"Apartamento com Quarto para Aluguel, 40m²","Praça Franklin Roosevelt, 128 - Consolação, São Paulo - SP",40 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.500 /mês,R$ 482
7855,"Apartamento com 2 Quartos para Aluguel, 89m²","Saúde, São Paulo - SP",89 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 2.750 /mês,R$ 0
7856,"Apartamento com 2 Quartos para Aluguel, 56m²","Parque São Domingos, São Paulo - SP",56 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.450 /mês,R$ 570
7857,"Apartamento com Quarto para Aluguel, 44m²","Rua Conselheiro Nébias - República, São Paulo - SP",44 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 1.900 /mês,R$ 379
7858,"Apartamento com 2 Quartos para Aluguel, 69m²","Avenida Portugal, 487 - Brooklin, São Paulo - SP",69 m²,2 Quartos,3 Banheiros,1 Vaga,R$ 2.700 /mês,R$ 836
7859,"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Parnamirim, 110 - Jaguaré, São Paulo - SP",100 m²,3 Quartos,1 Banheiro,1 Vaga,R$ 2.400 /mês,R$ 620
7860,"Apartamento com Quarto para Aluguel, 45m²","Rua Pelotas, 306 - Vila Mariana, São Paulo - SP",45 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.800 /mês,R$ 900
7861,"Apartamento com 2 Quartos para Aluguel, 47m²","Conjunto Habitacional Juscelino Kubitscheck de Oliveira, São Paulo - SP",47 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.100 /mês,R$ 0
7862,Apartamento com Quarto para Venda/Aluguel 61m²,"Rua Professor Ciridião Buarque - Vila Anglo Brasileira, São Paulo - SP",61 m²,1 Quarto,2 Banheiros,2 Vagas,R$ 2.700 /mês,R$ 650
7863,"Apartamento com Quarto para Aluguel, 45m²","Rua São José - Alto Da Boa Vista, São Paulo - SP",45 m²,1 Quarto,2 Banheiros,1 Vaga,R$ 2.100 /mês,R$ 508
7864,"Apartamento com Quarto para Aluguel, 37m²","Rua Paim - Bela Vista, São Paulo - SP",37 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.400 /mês,R$ 500
7865,"Apartamento com Quarto para Aluguel, 31m²","Rua Coronel Luís Barroso, 582 - Alto Da Boa Vista, São Paulo - SP",31 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.800 /mês,R$ 500
7866,"Apartamento com 2 Quartos para Aluguel, 63m²","Rua Castro Alves - Aclimação, São Paulo - SP",63 m²,2 Quartos,2 Banheiros,2 Vagas,R$ 2.500 /mês,R$ 641
7867,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Cunha Gago - Pinheiros, São Paulo - SP",60 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 4.300 /mês,R$ 830
7868,Apartamento com Quarto à Venda/Aluguel 45m²,"Rua Paulo Orozimbo - Aclimação, São Paulo - SP",45 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 1.800 /mês,R$ 451
