,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Condominium Fee (R$),Rent (R$)
775,32,60,2,2,1,1100,4900
776,29,118,3,4,2,1455,4700
777,7,50,1,1,1,650,1500
778,29,68,2,2,2,840,1700
779,29,46,2,1,1,317,1500
780,21,56,1,2,2,1550,3080
781,26,145,3,5,2,1513,8000
782,29,65,2,2,1,560,3240
783,28,64,2,2,1,800,2700
784,42,53,2,1,1,650,4000
785,3,55,1,1,1,950,3100
786,46,75,3,3,2,1021,3200
787,29,62,2,1,1,480,1900
788,21,35,1,1,1,500,2300
789,42,50,2,1,1,711,1895
790,31,63,2,2,1,850,4500
791,29,100,3,4,0,1040,6490
792,46,63,2,2,0,406,1800
793,8,40,1,1,0,300,1100
794,32,90,3,2,1,930,2600
795,31,93,2,3,2,750,5000
796,29,45,1,1,1,450,3000
797,32,82,2,2,1,800,3500
